Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Contributors,Dataset,Year
AH1,0.6052,0.6983,0.7817,0.7043,0.1724,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ADC2004,2019
BH1,0.7079,0.8110,0.8431,0.7759,0.2914,"Jiří­ Balhar,Jan Hajič",ADC2004,2019
BH2,0.6983,0.7989,0.8348,0.7560,0.2802,"Jiří­ Balhar,Jan Hajič",ADC2004,2019
HH4,0.3314,0.3831,0.4221,0.9373,0.8418,Huang Hsiang-Yu,ADC2004,2019
HLD1,0.5233,0.6236,0.7288,0.6150,0.1447,"An-Qi Huang,SHENYUAN LI,Zhi Dong",ADC2004,2019
KN4,0.6786,0.6570,0.6651,0.6962,0.1188,"Sanguen Kum, Juhan Nam",ADC2004,2019
ZC1,0.6640,0.6432,0.6535,0.7055,0.1672,Zhengyu Cao,ADC2004,2019
AH1,0.6065,0.6569,0.7158,0.7525,0.2461,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX05,2019
BH1,0.6786,0.7449,0.7804,0.7295,0.2011,"Jiří­ Balhar,Jan Hajič",MIREX05,2019
BH2,0.6691,0.7325,0.7764,0.7113,0.2286,"Jiří­ Balhar,Jan Hajič",MIREX05,2019
HH4,0.3265,0.4474,0.4881,0.9455,0.9403,Huang Hsiang-Yu,MIREX05,2019
HLD1,0.5368,0.5851,0.6647,0.6790,0.2847,"An-Qi Huang,SHENYUAN LI,Zhi Dong",MIREX05,2019
KN4,0.6107,0.5717,0.5782,0.6406,0.1461,"Sanguen Kum, Juhan Nam",MIREX05,2019
ZC1,0.5491,0.4831,0.4915,0.5647,0.1459,Zhengyu Cao,MIREX05,2019
AH1,0.6639,0.7441,0.7512,0.6972,0.1423,"An-Qi Huang,SHENYUAN LI,Zhi Dong",INDIAN08,2019
BH1,0.6468,0.7401,0.7494,0.7829,0.5998,"Jiří­ Balhar,Jan Hajič",INDIAN08,2019
BH2,0.6627,0.7477,0.7620,0.7908,0.5465,"Jiří­ Balhar,Jan Hajič",INDIAN08,2019
HH4,0.4879,0.5635,0.5716,0.8845,0.8634,Huang Hsiang-Yu,INDIAN08,2019
HLD1,0.6419,0.7046,0.7167,0.6997,0.1581,"An-Qi Huang,SHENYUAN LI,Zhi Dong",INDIAN08,2019
KN4,0.7931,0.7894,0.7905,0.8456,0.0785,"Sanguen Kum, Juhan Nam",INDIAN08,2019
